"player_name","team","player_age","Position","games_played","games_started","player_targets","player_rec","player_catch_percentage","player_yards","player_ypr","player_td","player_first_downs","player_success","longest_reception","player_yards_per_target","receptions_per_game","yards_per_game","player_target_per_game","player_td_per_game","player_first_downs_per_game","contract_length","contract_value","contract_AAV","contract_bonus","contract_gteed"
"Trent Taylor","CIN",28,"WR",16,1,10,6,0.6,62,10.3,0,1,30,34,6.2,0.4,3.9,0.625,0,0.0625,1,1080000,1080000,"-","-"
"Trenton Irwin","CIN",27,"WR",9,2,23,15,0.652,231,15.4,4,12,65.2,45,10,1.7,25.7,2.55555555555556,0.444444444444444,1.33333333333333,2,1765000,882500,"-","-"
"Treylon Burks","TEN",22,"WR",11,6,54,33,0.611,444,13.5,1,19,50,51,8.2,3,40.4,4.90909090909091,0.0909090909090909,1.72727272727273,4,14369592,3592398,"$7,630,612","$14,369,592"
"Ty Montgomery","NWE",29,"WR",1,0,4,3,0.75,15,5,1,1,25,7,3.8,3,15,4,1,1,1,1165000,1165000,"-","-"
"Tylan Wallace","BAL",23,"WR",9,0,7,4,0.571,33,8.3,0,1,42.9,12,4.7,0.4,3.7,0.777777777777778,0,0.111111111111111,4,4165364,1041341,"$685,364","$685,364"
"Tyler Boyd","CIN",28,"WR",16,14,82,58,0.707,762,13.1,5,42,62.2,60,9.3,3.6,47.6,5.125,0.3125,2.625,4,4.3e+07,10750000,"$7,000,000","$11,080,769"
"Tyler Lockett","SEA",30,"WR",16,16,117,84,0.718,1033,12.3,9,50,60.7,40,8.8,5.3,64.6,7.3125,0.5625,3.125,4,6.9e+07,17250000,"$19,000,000","$37,000,000"
"Tyquan Thornton","NWE",22,"WR",13,9,45,22,0.489,247,11.2,2,13,40,29,5.5,1.7,19,3.46153846153846,0.153846153846154,1,4,7053857,1763464,"$2,310,080","$3,335,710"
"Tyreek Hill","MIA",28,"WR",17,17,170,119,0.7,1710,14.4,7,77,56.5,64,10.1,7,100.6,10,0.411764705882353,4.52941176470588,4,1.2e+08,3e+07,"$25,500,000","$52,535,000"
"Van Jefferson","LAR",26,"WR",11,9,44,24,0.545,369,15.4,3,20,50,39,8.4,2.2,33.5,4,0.272727272727273,1.81818181818182,4,5611134,1402784,"$1,640,824","$2,505,876"
"Zach Pascal","PHI",28,"WR",17,2,19,15,0.789,150,10,1,9,63.2,34,7.9,0.9,8.8,1.11764705882353,0.0588235294117647,0.529411764705882,2,4500000,2250000,"$1,500,000","$1,500,000"
"Zay Jones","JAX",27,"WR",16,15,121,82,0.678,823,10,5,44,54.5,59,6.8,5.1,51.4,7.5625,0.3125,2.75,3,2.4e+07,8e+06,"$5,500,000","$14,000,000"
